order_id,tenant,flow,sender,hub,dispatch_pool,vehicle_type,start_time,end_time,title,route_description,tags,overview,content,type,start,end,service_fee,start_task_validation,end_task_validation,status_group
2175712,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,0.01,0,0,1
2484966,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,0.33,0,0,1
1238921,537,24,z,NAV,88,JvxlVmj0FTlz,2022-10-15 06:47:22.640623,2022-10-15 06:56:49.969750,qjBzvB,FTG,LGqD,Jr,IWa,lNK,Moil Crescent,Surcingle Drive,0.33,eFmrj,22dSl,5
9119698,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,2.0,0,0,1
8873015,453,78,awK6mxXW,j8Z19a8h8eJrMZxU7htTQ7iHJ,60,w,2024-06-19 01:12:08.969503,2024-06-19 01:36:21.667669,WhPrxqP,xRL,Q51pwGfr5ThCH,PM,Uwkor9R,OJJoG45iI,Moil Crescent,Surcingle Drive,2.0,HUKg,S,10
2596635,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,0.01,0,0,1
4990501,43,33,ddbHg,MSbLX,17,zhTe,2023-01-10 00:25:57.192105,2023-01-10 01:20:43.114019,CdqOcGWW9gTUKn,45,4is862,pAxvllZZ,Av,Knrb,Moil Crescent,Surcingle Drive,0.01,tkpYoSsExwjsdq,qsb,7
4003643,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,1.5,0,0,1
6638673,443,81,Jf,uulMNE2J,70,Hw13LO1urXF0vlf9LHrMCsTqqLbUBYcV4,2022-06-02 05:47:58.496976,2022-06-02 06:09:07.613640,DH,t45ExZBI,Iu,mWZT,2CvxjE59cp,Mgu,Moil Crescent,Surcingle Drive,1.5,wsSfWjd6v,esYZEi,2
8961395,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,10000.0,0,0,1
6860981,44,94,Sa,Jttgn0il3f5yjXE70VdBwnmocV,1,ttEUMPEDmanDqsjEQX8cXIIh,2022-06-18 01:44:07.524628,2022-06-18 02:02:12.102560,X,yUd,uT,M3z4DVx76,swsaoj,6VH,Moil Crescent,Surcingle Drive,10000.0,JQ,DjaQ,10
4161617,44,10,Sa,Jttgn0il3f5yjXE70VdBwnmocV,1,ttEUMPEDmanDqsjEQX8cXIIh,2022-06-18 01:44:07.524628,2022-06-18 02:02:12.102560,X,yUd,uT,M3z4DVx76,swsaoj,6VH,Moil Crescent,Surcingle Drive,10000.0,JQ,DjaQ,10
7136364,44,10,Sa,Jttgn0il3f5yjXE70VdBwnmocV,1,ttEUMPEDmanDqsjEQX8cXIIh,2022-06-18 01:44:07.524628,2022-06-18 02:02:12.102560,X,yUd,uT,M3z4DVx76,yUd,6VH,Moil Crescent,Surcingle Drive,10000.0,JQ,DjaQ,10
6631838,44,10,Sa,Jttgn0il3f5yjXE70VdBwnmocV,1,ttEUMPEDmanDqsjEQX8cXIIh,2022-06-18 01:44:07.524628,2022-06-18 02:02:12.102560,X,yUd,uT,M3z4DVx76,yUd,6VH,Moil Crescent,Surcingle Drive,10000.0,JQ,DjaQ,1
9906055,44,10,Sa,DjaQ,1,ttEUMPEDmanDqsjEQX8cXIIh,2022-06-18 01:44:07.524628,2022-06-18 02:02:12.102560,X,yUd,uT,M3z4DVx76,yUd,6VH,Moil Crescent,Surcingle Drive,10000.0,JQ,DjaQ,1
1225764,44,10,Sa,DjaQ,1,ttEUMPEDmanDqsjEQX8cXIIh,2022-06-18 01:44:07.524628,2022-06-18 02:02:12.102560,X,yUd,uT,M3z4DVx76,yUd,6VH,Moil Crescent,Surcingle Drive,10000.0,JQ,uT,1
5407933,44,10,Sa,DjaQ,1,ttEUMPEDmanDqsjEQX8cXIIh,2022-06-18 01:44:07.524628,2022-06-18 02:02:12.102560,X,yUd,DjaQ,M3z4DVx76,yUd,6VH,Moil Crescent,Surcingle Drive,10000.0,JQ,uT,1
9714036,458,22,VInH,tJR6,13,LoF1AMbukTNXSt,2022-03-06 20:22:14.126575,2022-03-06 21:03:57.254634,ZAgO,O5,ovALVLM,5FgkVWqj6n,Qd,D,Moil Crescent,Surcingle Drive,8625.55,8GA9,oXd,1
1549442,458,22,LoF1AMbukTNXSt,tJR6,13,LoF1AMbukTNXSt,2022-03-06 20:22:14.126575,2022-03-06 21:03:57.254634,ZAgO,O5,ovALVLM,5FgkVWqj6n,Qd,D,Moil Crescent,Surcingle Drive,8625.55,8GA9,oXd,1
4583209,458,22,LoF1AMbukTNXSt,tJR6,13,LoF1AMbukTNXSt,2022-03-06 20:22:14.126575,2022-03-06 21:03:57.254634,ZAgO,O5,ovALVLM,5FgkVWqj6n,Qd,D,Moil Crescent,Surcingle Drive,8625.55,5FgkVWqj6n,oXd,1
8734053,458,22,LoF1AMbukTNXSt,tJR6,13,LoF1AMbukTNXSt,2022-03-06 20:22:14.126575,2022-03-06 21:03:57.254634,ZAgO,O5,ovALVLM,5FgkVWqj6n,ovALVLM,D,Moil Crescent,Surcingle Drive,8625.55,5FgkVWqj6n,oXd,1
9195978,596,92,3YWyeVNJxBbS,iTr2Wh4mG,25,56IXq,2020-02-01 22:04:38.967332,2020-02-01 22:31:49.235836,C,WA7X1xwqGeSZN,o,x,5XgfqQ,R,Moil Crescent,Surcingle Drive,9999.0,pDe,U9YZcd,1
8783256,596,92,3YWyeVNJxBbS,iTr2Wh4mG,25,pDe,2020-02-01 22:04:38.967332,2020-02-01 22:31:49.235836,C,WA7X1xwqGeSZN,o,x,5XgfqQ,R,Moil Crescent,Surcingle Drive,9999.0,pDe,U9YZcd,1
6568571,596,92,3YWyeVNJxBbS,iTr2Wh4mG,25,pDe,2020-02-01 22:04:38.967332,2020-02-01 22:31:49.235836,C,WA7X1xwqGeSZN,o,x,5XgfqQ,R,Moil Crescent,Surcingle Drive,9999.0,pDe,R,1
2120019,596,92,3YWyeVNJxBbS,iTr2Wh4mG,25,pDe,2020-02-01 22:04:38.967332,2020-02-01 22:31:49.235836,C,WA7X1xwqGeSZN,R,x,5XgfqQ,R,Moil Crescent,Surcingle Drive,9999.0,pDe,R,1
9109105,596,92,3YWyeVNJxBbS,iTr2Wh4mG,25,pDe,2020-02-01 22:04:38.967332,2020-02-01 22:31:49.235836,C,iTr2Wh4mG,R,x,5XgfqQ,R,Moil Crescent,Surcingle Drive,9999.0,pDe,R,1
3503073,596,92,3YWyeVNJxBbS,iTr2Wh4mG,25,pDe,2020-02-01 22:04:38.967332,2020-02-01 22:31:49.235836,C,iTr2Wh4mG,R,R,5XgfqQ,R,Moil Crescent,Surcingle Drive,9999.0,pDe,R,1
2105371,821,78,DB5,ooXK0trr4x,32,512HUYAA20U15f,2020-03-12 03:45:34.219408,2020-03-12 04:18:20.982136,4CDoRXzWgw,Z,B,bPLejGgWt,MR,rVkpZpWdV,Moil Crescent,Surcingle Drive,0.01,WF,Q,10
5348817,821,78,DB5,ooXK0trr4x,32,512HUYAA20U15f,2020-03-12 03:45:34.219408,2020-03-12 04:18:20.982136,4CDoRXzWgw,Z,WF,bPLejGgWt,MR,rVkpZpWdV,Moil Crescent,Surcingle Drive,0.01,WF,Q,10
9010899,821,10,DB5,ooXK0trr4x,32,512HUYAA20U15f,2020-03-12 03:45:34.219408,2020-03-12 04:18:20.982136,4CDoRXzWgw,Z,WF,bPLejGgWt,MR,rVkpZpWdV,Moil Crescent,Surcingle Drive,0.01,WF,Q,10
4647660,821,10,DB5,rVkpZpWdV,32,512HUYAA20U15f,2020-03-12 03:45:34.219408,2020-03-12 04:18:20.982136,4CDoRXzWgw,Z,WF,bPLejGgWt,MR,rVkpZpWdV,Moil Crescent,Surcingle Drive,0.01,WF,Q,10
1040533,821,10,DB5,rVkpZpWdV,32,512HUYAA20U15f,2020-03-12 03:45:34.219408,2020-03-12 04:18:20.982136,4CDoRXzWgw,Z,WF,bPLejGgWt,MR,rVkpZpWdV,Moil Crescent,Surcingle Drive,0.01,DB5,Q,10
