order_id,tenant,flow,sender,hub,dispatch_pool,vehicle_type,start_time,end_time,title,route_description,tags,overview,content,type,start,end,service_fee,start_task_validation,end_task_validation,status_group
9502462,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,0.01,0,0,1
8883886,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,10000.0,0,0,1
8891081,673,58,grVHE5vUKcT8v5B0,oCLItm,12,DmU6MFz41Fr,2022-10-23 11:00:21.368395,2022-10-23 11:32:58.624806,do,COk,ReI,P,gncsJpd,8RkvdU,Moil Crescent,Surcingle Drive,10000.0,PkP,VBi9h1slqL5O,6
4851413,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,1.01,0,0,1
5363004,170,19,cxF,Jj,7,uIwIBFqCeWOXi,2020-01-18 08:43:32.064987,2020-01-18 09:31:54.589537,S06,kY,ScPuEqlX,nzZk,jbUdz54fpHgRR,T8bCB73P,Moil Crescent,Surcingle Drive,1.01,ec,990y,10
4518584,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,0.01,0,0,1
8842212,465,51,FJG,IcrERZ,10,dfF6hYTipFrgK8t47ObKWRJ67NhkW,2020-02-05 13:45:10.521446,2020-02-05 13:59:00.439276,4TCTx,jf,7lpi2FMvBQzsVvDPZ8,E,67EGhYI,o3v,Moil Crescent,Surcingle Drive,0.01,jzEiAOHCX,x7x83hatceCv,7
9226075,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,1.9,0,0,1
1307906,229,91,PnyGzkCl4v4L2DZ,U3U,13,g,2021-12-30 04:09:29.891604,2021-12-30 04:33:56.924135,l,vojS,Y7a9,T3UhpN3N2MFJCjFOMoa3KfOU9,B,fSK,Moil Crescent,Surcingle Drive,1.9,Y0r,eM,1
9596669,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,0.5,0,0,1
