order_id,tenant,flow,sender,hub,dispatch_pool,vehicle_type,start_time,end_time,title,route_description,tags,overview,content,type,start,end,service_fee,start_task_validation,end_task_validation,status_group
6267380,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Lee Point Road,Ross Smith Avenue,0.01,0,0,1
9286295,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Lee Point Road,Ross Smith Avenue,2.0,0,0,1
5911535,690,48,tCZLJO,wBKuo7AB,95,R2751,2021-10-19 11:37:05.502555,2021-10-19 11:46:43.616995,3nli,kM1,Fx38KHWjpaR,IpPjk,NxPCf0lH,SFg,East Point Road,Whitewood Road,2.0,7rVZI9A,AWCzF,4
3293854,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Lee Point Road,Ross Smith Avenue,4920.74,0,0,1
2777472,199,84,ot,aGaBreUa,85,K9fnHO9p95,2024-03-13 05:46:00.799256,2024-03-13 06:12:16.643236,fOvH,xo,sNuDgh3,sDb7,wW4532Cs,pyKhfzb,Bradshaw Terrace,Ford Street,4920.74,dg,8rxI3,6
5511343,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Lee Point Road,Ross Smith Avenue,0.01,0,0,1
8241029,249,28,Ineso,a3LZD,44,jRraBjaEcF6MSr,2022-03-17 09:38:51.720707,2022-03-17 10:01:23.400864,Tat,cyO,4D,QueCiKKutLHlD,L,i,Smith Street,Esplanade,0.01,5flNBn,erUsOVS,2
6496912,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Lee Point Road,Ross Smith Avenue,1.1,0,0,1
4765391,58,88,P7d,p,32,xv5pyHd,2024-09-06 01:24:00.728914,2024-09-06 01:42:15.383115,CEkYw,n,KwG8ORw,qU,8n67,bEo,Esplanade,Pandanus Street,1.1,qOVua,B,10
9872203,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Lee Point Road,Ross Smith Avenue,1.0,0,0,1
4628147,203,98,YW,drUw,57,2wuxHEoUFL,2021-03-12 16:52:15.589887,2021-03-12 17:45:46.489162,QToN,3rgFuT6jc,k9Dv,I1XI04ZDtICZK,wa,d,Kilfoyle Crescent,Trower Road,1.0,WptB1v1t,a,3
8186759,203,98,YW,I1XI04ZDtICZK,57,2wuxHEoUFL,2021-03-12 16:52:15.589887,2021-03-12 17:45:46.489162,QToN,3rgFuT6jc,k9Dv,I1XI04ZDtICZK,wa,d,Kilfoyle Crescent,Trower Road,1.0,WptB1v1t,a,3
6881237,203,98,YW,I1XI04ZDtICZK,57,2wuxHEoUFL,2021-03-12 16:52:15.589887,2021-03-12 17:45:46.489162,QToN,3rgFuT6jc,k9Dv,I1XI04ZDtICZK,wa,d,Trower Road,Bradshaw Terrace,1.0,WptB1v1t,a,3
5720416,203,98,YW,I1XI04ZDtICZK,57,a,2021-03-12 16:52:15.589887,2021-03-12 17:45:46.489162,QToN,3rgFuT6jc,k9Dv,I1XI04ZDtICZK,wa,d,Trower Road,Bradshaw Terrace,1.0,WptB1v1t,a,3
5357351,203,98,YW,I1XI04ZDtICZK,57,d,2021-03-12 16:52:15.589887,2021-03-12 17:45:46.489162,QToN,3rgFuT6jc,k9Dv,I1XI04ZDtICZK,wa,d,Trower Road,Bradshaw Terrace,1.0,WptB1v1t,a,3
7656517,390,20,kF1,W70nc,80,w,2020-01-22 07:19:23.645071,2020-01-22 08:01:47.296765,zAH,d1ry,ndgp,Fl5,T,hfU,Yarrawonga Road,Smith Street,1.01,u,SSupeLe67tHTl4G3,2
