task_id,tenant,order_id,sender,hub,zone,flow,task_pool,partner,title,content,date,time_slot,type,service_time,start,end,service_fee,items,start_task_validation,end_task_validation,status_code,status_group
99999999,1,8690493,0,0,1,0,1,1,0,0,2020-01-01 00:00:00.000000,0,0,0,Moil Crescent,Surcingle Drive,0.01,0,0,0,1,1
99999998,1,8690493,0,0,1,0,1,1,0,0,2020-01-01 00:00:00.000000,0,0,0,Moil Crescent,Surcingle Drive,10000.0,0,0,0,1,1
99999997,203,8690493,Cs,xASYH,72,GRqS,735,262,tXW,Gs9lH,2021-06-19 16:58:49.979662,uJ9GRV,PI,iyMt,Moil Crescent,Surcingle Drive,10000.0,qN,HqeInxrn,JY4F8,2,5
99999996,1,8690493,0,0,1,0,1,1,0,0,2020-01-01 00:00:00.000000,0,0,0,Moil Crescent,Surcingle Drive,1.5,0,0,0,1,1
99999995,963,8690493,OBi,Een9k0,31,DM8FA22HpeZQtqdIIpzoE1ZmkA7,95,485,Azd2j26,z,2020-03-19 10:07:53.876277,UP,9,x,Moil Crescent,Surcingle Drive,1.5,i1WREd3Q,7y2lItCs9PKh6bIL1,yaN9KK,3,6
99999994,1,8690493,0,0,1,0,1,1,0,0,2020-01-01 00:00:00.000000,0,0,0,Moil Crescent,Surcingle Drive,229.56,0,0,0,1,1
99999993,662,8690493,i,9WbnMHF6M,13,0JjwuYp,616,50,j2F,cC7B11jElSFCk,2020-07-05 10:04:41.671724,c1,34HRtvlpic2EWDaiTQEWXG2,mByUJ,Moil Crescent,Surcingle Drive,229.56,tmk,vZ,aYhf,7,5
99999992,1,8690493,0,0,1,0,1,1,0,0,2020-01-01 00:00:00.000000,0,0,0,Moil Crescent,Surcingle Drive,1.9,0,0,0,1,1
99999991,62,8690493,PbnRLnyD2Wfv,xicl,85,fsjWpwa8sQZ1,331,706,OiQ3mbtQX55G4,wPf,2022-06-03 09:55:03.701219,TdyP31UGApnLLfHcgL33MrCVG,n5,8iJNY,Moil Crescent,Surcingle Drive,1.9,Z,wKHTM,vnTjQSlWDmPmBs,1,10
99999990,1,8690493,0,0,1,0,1,1,0,0,2020-01-01 00:00:00.000000,0,0,0,Moil Crescent,Surcingle Drive,1.0,0,0,0,1,1
99999989,870,8690493,J,Bn,4,UJ2BR43FDPW6ha,393,287,X9D2MipYj5WoKgh0xJ90C2,UIPhPaomi0,2020-11-20 23:02:05.405903,kIy5qukoQtGPj0k,BvoYXeu,k4tcPxxos1,Moil Crescent,Surcingle Drive,1.0,QRBY,L,7kl9bZk1XDxfTfhB9yWT,6,10
99999988,870,8690493,J,Bn,4,UJ2BR43FDPW6ha,393,287,X9D2MipYj5WoKgh0xJ90C2,7kl9bZk1XDxfTfhB9yWT,2020-11-20 23:02:05.405903,kIy5qukoQtGPj0k,BvoYXeu,k4tcPxxos1,Moil Crescent,Surcingle Drive,1.0,QRBY,L,7kl9bZk1XDxfTfhB9yWT,6,10
99999987,870,8690493,J,X9D2MipYj5WoKgh0xJ90C2,4,UJ2BR43FDPW6ha,393,287,X9D2MipYj5WoKgh0xJ90C2,7kl9bZk1XDxfTfhB9yWT,2020-11-20 23:02:05.405903,kIy5qukoQtGPj0k,BvoYXeu,k4tcPxxos1,Moil Crescent,Surcingle Drive,1.0,QRBY,L,7kl9bZk1XDxfTfhB9yWT,6,10
99999986,870,8690493,J,X9D2MipYj5WoKgh0xJ90C2,4,UJ2BR43FDPW6ha,393,393,X9D2MipYj5WoKgh0xJ90C2,7kl9bZk1XDxfTfhB9yWT,2020-11-20 23:02:05.405903,kIy5qukoQtGPj0k,BvoYXeu,k4tcPxxos1,Moil Crescent,Surcingle Drive,1.0,QRBY,L,7kl9bZk1XDxfTfhB9yWT,6,10
99999985,393,8690493,J,X9D2MipYj5WoKgh0xJ90C2,4,UJ2BR43FDPW6ha,393,393,X9D2MipYj5WoKgh0xJ90C2,7kl9bZk1XDxfTfhB9yWT,2020-11-20 23:02:05.405903,kIy5qukoQtGPj0k,BvoYXeu,k4tcPxxos1,Moil Crescent,Surcingle Drive,1.0,QRBY,L,7kl9bZk1XDxfTfhB9yWT,6,10
99999984,393,8690493,J,X9D2MipYj5WoKgh0xJ90C2,4,UJ2BR43FDPW6ha,393,393,X9D2MipYj5WoKgh0xJ90C2,7kl9bZk1XDxfTfhB9yWT,2020-11-20 23:02:05.405903,7kl9bZk1XDxfTfhB9yWT,BvoYXeu,k4tcPxxos1,Moil Crescent,Surcingle Drive,1.0,QRBY,L,7kl9bZk1XDxfTfhB9yWT,6,10
99999982,880,8690493,aouMfhhz,set,48,wFHYAHJ2z,291,350,sya6pnchh,u,2021-06-21 19:28:34.119021,qhVtQSxzl,Vmc7GD,ugPxU,Moil Crescent,Surcingle Drive,1.1,ISfk2c2MZVB,vzL6xI5tcD,1v,4,8
99999980,880,8690493,aouMfhhz,set,48,sya6pnchh,291,350,sya6pnchh,u,2021-06-21 19:28:34.119021,qhVtQSxzl,Vmc7GD,ugPxU,Moil Crescent,Surcingle Drive,1.1,ISfk2c2MZVB,vzL6xI5tcD,1v,4,8
99999979,880,8690493,aouMfhhz,set,48,sya6pnchh,291,350,sya6pnchh,u,2021-06-21 19:28:34.119021,Vmc7GD,Vmc7GD,ugPxU,Moil Crescent,Surcingle Drive,1.1,ISfk2c2MZVB,vzL6xI5tcD,1v,4,8
99999975,112,8690493,iuF0tN5Te8Ch,SNc,27,KQyou5bIMl,700,935,TIiT71,js,2023-08-01 15:09:14.360298,JJjhxdC8qVUSZ,ZLw,4BG,Moil Crescent,Surcingle Drive,0.5,FV,piVS,CLT,4,3
99999974,112,8690493,iuF0tN5Te8Ch,ZLw,27,KQyou5bIMl,700,935,TIiT71,js,2023-08-01 15:09:14.360298,JJjhxdC8qVUSZ,ZLw,4BG,Moil Crescent,Surcingle Drive,0.5,FV,piVS,CLT,4,3
99999973,112,8690493,iuF0tN5Te8Ch,ZLw,27,KQyou5bIMl,700,935,TIiT71,js,2023-08-01 15:09:14.360298,JJjhxdC8qVUSZ,ZLw,4BG,Moil Crescent,Surcingle Drive,0.5,FV,piVS,CLT,4,4
99999972,112,8690493,iuF0tN5Te8Ch,ZLw,27,KQyou5bIMl,700,935,TIiT71,js,2023-08-01 15:09:14.360298,JJjhxdC8qVUSZ,ZLw,4BG,Moil Crescent,Surcingle Drive,0.5,FV,iuF0tN5Te8Ch,CLT,4,4
99999970,112,8690493,iuF0tN5Te8Ch,ZLw,27,KQyou5bIMl,700,935,TIiT71,js,2023-08-01 15:09:14.360298,JJjhxdC8qVUSZ,CLT,4BG,Moil Crescent,Surcingle Drive,0.5,FV,iuF0tN5Te8Ch,CLT,4,4
99999968,37,8690493,5,XbIT,41,P3vwsrlL,305,9,yTBvqg,kYw,2020-10-29 19:36:04.193860,e9zZ3FQoFy,1Y0z8uiGX6GzmqROo,JJXP0mVJAbiyM4K84,Moil Crescent,Surcingle Drive,0.33,EGyzbkl6TS5SVEruTQKfLry,eN80j,y,7,6
99999967,37,8690493,5,XbIT,41,P3vwsrlL,305,9,yTBvqg,kYw,2020-10-29 19:36:04.193860,e9zZ3FQoFy,1Y0z8uiGX6GzmqROo,y,Moil Crescent,Surcingle Drive,0.33,EGyzbkl6TS5SVEruTQKfLry,eN80j,y,7,6
99999966,37,8690493,5,XbIT,41,P3vwsrlL,305,9,yTBvqg,kYw,2020-10-29 19:36:04.193860,e9zZ3FQoFy,1Y0z8uiGX6GzmqROo,y,Moil Crescent,Surcingle Drive,0.33,yTBvqg,eN80j,y,7,6
99999962,37,8690493,5,XbIT,41,P3vwsrlL,305,9,yTBvqg,kYw,2020-10-29 19:36:04.193860,e9zZ3FQoFy,kYw,y,Moil Crescent,Surcingle Drive,0.33,yTBvqg,eN80j,y,7,6
99999961,589,8690493,Iohm4vgCi8lL5e,AO2z6rIcvu0QSZBI9TY3QZ,66,l8FR2Tr46HW,295,968,hww30i9tIv,qcPeUaB,2021-01-17 04:56:42.679933,P,Q9Z,C,Moil Crescent,Surcingle Drive,0.33,x,8,N,9,5
99999960,589,8690493,Iohm4vgCi8lL5e,C,66,l8FR2Tr46HW,295,968,hww30i9tIv,qcPeUaB,2021-01-17 04:56:42.679933,P,Q9Z,C,Moil Crescent,Surcingle Drive,0.33,x,8,N,9,5
99999955,589,8690493,Iohm4vgCi8lL5e,C,5,l8FR2Tr46HW,295,968,hww30i9tIv,qcPeUaB,2021-01-17 04:56:42.679933,P,Q9Z,C,Moil Crescent,Surcingle Drive,0.33,x,8,N,9,5
99999954,110,8690493,V0JgmlQR,i,85,98sNerBI,90,719,W3VdMg,x,2020-10-26 17:45:42.774408,kkc,1k0OIRLBm,4TzQW,Moil Crescent,Surcingle Drive,0.01,xmpP2UmXZEVt,RNwju2F44OvLa5bT6,02YyeVX,4,5
99999953,110,8690493,V0JgmlQR,i,85,98sNerBI,90,719,W3VdMg,x,2020-10-26 17:45:42.774408,kkc,1k0OIRLBm,1k0OIRLBm,Moil Crescent,Surcingle Drive,0.01,xmpP2UmXZEVt,RNwju2F44OvLa5bT6,02YyeVX,4,5
99999952,110,8690493,V0JgmlQR,i,85,98sNerBI,90,719,W3VdMg,x,2020-10-26 17:45:42.774408,kkc,1k0OIRLBm,1k0OIRLBm,Moil Crescent,Surcingle Drive,0.01,xmpP2UmXZEVt,RNwju2F44OvLa5bT6,V0JgmlQR,4,5
99999951,110,8690493,kkc,i,85,98sNerBI,90,719,W3VdMg,x,2020-10-26 17:45:42.774408,kkc,1k0OIRLBm,1k0OIRLBm,Moil Crescent,Surcingle Drive,0.01,xmpP2UmXZEVt,RNwju2F44OvLa5bT6,V0JgmlQR,4,5
99999950,110,8690493,kkc,i,85,1k0OIRLBm,90,719,W3VdMg,x,2020-10-26 17:45:42.774408,kkc,1k0OIRLBm,1k0OIRLBm,Moil Crescent,Surcingle Drive,0.01,xmpP2UmXZEVt,RNwju2F44OvLa5bT6,V0JgmlQR,4,5
99999948,110,8690493,kkc,W3VdMg,85,1k0OIRLBm,90,719,W3VdMg,x,2020-10-26 17:45:42.774408,kkc,1k0OIRLBm,1k0OIRLBm,Moil Crescent,Surcingle Drive,0.01,xmpP2UmXZEVt,RNwju2F44OvLa5bT6,V0JgmlQR,4,5
99999947,375,8690493,W,IqvL0,49,bda9m,1,93,5,hO,2020-11-10 00:34:58.518846,HCYU,uxT7quf,NyG,Moil Crescent,Surcingle Drive,10000.0,x6Vpm2b3b,af,29,3,8
99999945,375,8690493,W,IqvL0,49,bda9m,1,93,5,hO,2020-11-10 00:34:58.518846,HCYU,uxT7quf,NyG,Moil Crescent,Surcingle Drive,10000.0,x6Vpm2b3b,W,29,3,8
99999944,375,8690493,W,IqvL0,49,bda9m,1,93,5,hO,2020-11-10 00:34:58.518846,HCYU,uxT7quf,NyG,Moil Crescent,Surcingle Drive,10000.0,5,W,29,3,8
