work_id,tenant,order_id,sender,flow,hub,zone,start_date,start_time,end_date,end_time,start,end,items,references,fee,reviewed,scheduled_time,auto_publish_time,status_code,estimation,distance,channel
999999,1,5430303,0,0,0,1,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,2020-01-01 00:02:00.000000,Moil Crescent,Surcingle Drive,0,0,0.01,0,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,0,0,9.659999999999998,1
999998,1,5430303,0,0,0,1,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,2020-01-01 00:02:00.000000,Moil Crescent,Surcingle Drive,0,0,1.0,0,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,0,0,9.659999999999998,1
999997,8,5430303,z,GEb,TH,33,2021-12-27 05:36:01.827207,2021-12-27 05:36:01.827207,2021-12-27 06:30:58.155654,2021-12-27 06:30:58.155654,Moil Crescent,Surcingle Drive,HjvNE,w8G,1.0,8AC8X,2021-12-27 05:36:01.827207,2021-12-27 05:36:01.827207,s5fHV,d,9.659999999999998,3
999996,1,5430303,0,0,0,1,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,2020-01-01 00:02:00.000000,Moil Crescent,Surcingle Drive,0,0,1.9,0,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,0,0,9.659999999999998,1
999995,970,5430303,I,d,Hnuh,9,2021-09-15 17:45:13.313575,2021-09-15 17:45:13.313575,2021-09-15 18:14:56.187178,2021-09-15 18:14:56.187178,Moil Crescent,Surcingle Drive,N,u7Ff,1.9,w2E,2021-09-15 17:45:13.313575,2021-09-15 17:45:13.313575,v,72,9.659999999999998,2
999994,1,5430303,0,0,0,1,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,2020-01-01 00:02:00.000000,Moil Crescent,Surcingle Drive,0,0,0.01,0,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,0,0,9.659999999999998,1
999993,272,5430303,xaW,1PgTPYrslW7,jCsozmUth,89,2024-08-30 01:37:46.338682,2024-08-30 01:37:46.338682,2024-08-30 02:28:49.454354,2024-08-30 02:28:49.454354,Moil Crescent,Surcingle Drive,y7ZNohUQLSM8UG,D,0.01,RP3HBp6,2024-08-30 01:37:46.338682,2024-08-30 01:37:46.338682,1O,GfwrDBs4BNMwXikzQlB,9.659999999999998,10
999992,1,5430303,0,0,0,1,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,2020-01-01 00:02:00.000000,Moil Crescent,Surcingle Drive,0,0,6928.26,0,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000,0,0,9.659999999999998,1
999991,913,5430303,bv,2O,jd,57,2020-08-10 07:14:00.779163,2020-08-10 07:14:00.779163,2020-08-10 07:20:30.048317,2020-08-10 07:20:30.048317,Moil Crescent,Surcingle Drive,j,e8Zm9H,6928.26,emCdJ,2020-08-10 07:14:00.779163,2020-08-10 07:14:00.779163,y8vP,spHKOHJ3Ww2sunQi,9.659999999999998,8
999990,1,5430303,0,0,0,1,2020-12-01 00:00:00.000000,2020-12-01 00:00:00.000000,2020-12-01 00:02:00.000000,2020-12-01 00:02:00.000000,Moil Crescent,Surcingle Drive,0,0,0.01,0,2020-12-01 00:00:00.000000,2020-12-01 00:00:00.000000,0,0,9.659999999999998,1
