order_id,tenant,flow,sender,hub,dispatch_pool,vehicle_type,start_time,end_time,title,route_description,tags,overview,content,type,start,end,service_fee,start_task_validation,end_task_validation,status_group
1083457,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,0.01,0,0,1
8170765,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,2.0,0,0,1
4968672,785,94,Rr,b0SDZ,11,2SIm879f4,2024-08-24 22:16:57.677647,2024-08-24 22:19:12.842253,kr,zNv2ANUbFtU6kq,k,q5,ijcKEG,c2,Moil Crescent,Surcingle Drive,2.0,LqB9wDUvP,SP,8
5809614,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,1.0,0,0,1
4429070,11,62,jDj,2,57,BT,2023-06-16 14:29:50.147969,2023-06-16 14:35:57.233647,Upl680o,AJAeHPaTnOYmaLobRG,bgYEVs,7,iv,eUKIQ,Moil Crescent,Surcingle Drive,1.0,WGde,LQ,2
9635413,1,1,0,0,1,0,2020-01-01 00:00:00.000000,2020-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,9441.88,0,0,1
5819282,698,93,n0lU1,NZ,100,noEyYCI8,2020-09-21 13:56:04.030790,2020-09-21 14:55:01.053041,6UdscxP5jT,G,n,XhQ,lMz,3d0,Moil Crescent,Surcingle Drive,9441.88,2EFRSm456,uZ0wtTzw,6
7610157,1,1,0,0,1,0,2024-12-01 00:00:00.000000,2024-12-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,2.0,0,0,1
2394600,956,77,D4,p9KeolTje,78,E8,2024-12-19 22:15:40.399057,2024-12-19 22:48:55.904386,nMc,eN003,BQi,if,jhxn,ra7N8,Moil Crescent,Surcingle Drive,2.0,g4,EoRo2cvOWTknbaOYn2,1
4847611,1,1,0,0,1,0,2023-01-01 00:00:00.000000,2023-01-01 00:02:00.000000,0,0,0,0,0,0,Moil Crescent,Surcingle Drive,0.01,0,0,1
4553722,57,27,J0bet3R8xJ,dp,92,Z3ok,2023-02-20 02:08:29.624294,2023-02-20 02:53:28.332069,rfKv5Nw5lM,1PHs,o6eCoKVd,Y,KTug,E6U,Moil Crescent,Surcingle Drive,0.01,bmNGM9NrwjRbRpT7,Yf9,2
